Date,Narration,Debit,Credit,Reference
2026-09-01,NEFT SALARY ACME TECHNOLOGIES,,85000.00,NEFT260901001
2026-09-02,UPI/SUNRISE APARTMENTS/RENT,22000.00,,UPI260902001
2026-09-03,UPI/RAHUL GROCERY MART,2850.00,,UPI260903001
2026-09-04,ACH HDFC CAR LOAN EMI,8500.00,,ACH260904001
2026-09-05,UPI/BESCOM ELECTRICITY BILL,1800.00,,UPI260905001
2026-09-06,UPI/AIRTEL BROADBAND,999.00,,UPI260906001
2026-09-07,UPI/BIGBASKET GROCERIES,4200.00,,UPI260907001
2026-09-08,UPI/SWIGGY FOOD ORDER,540.00,,UPI260908001
2026-09-09,UPI/NETFLIX SUBSCRIPTION,649.00,,UPI260909001
2026-09-10,ATM CASH WITHDRAWAL,5000.00,,ATM260910001
2026-09-11,UPI/UBER INDIA,350.00,,UPI260911001
2026-09-12,UPI/APOLLO PHARMACY,1250.00,,UPI260912001
2026-09-13,UPI/AMAZON INDIA,3490.00,,UPI260913001
2026-09-14,UPI/ZOMATO FOOD ORDER,620.00,,UPI260914001
2026-09-15,UPI/GOLD GYM MEMBERSHIP,1500.00,,UPI260915001
2026-09-16,IMPS FROM PRIYA SHARMA,,7500.00,IMPS260916001
2026-09-17,UPI/INDIAN OIL PETROL,2500.00,,UPI260917001
2026-09-18,UPI/MYNTRA ONLINE SHOPPING,4500.00,,UPI260918001
2026-09-19,UPI/STARBUCKS INDIA,520.00,,UPI260919001
2026-09-20,UPI/CROMA ELECTRONICS,18500.00,,UPI260920001
2026-09-21,UPI/DOMINOS PIZZA,680.00,,UPI260921001
2026-09-22,UPI/ZEpto GROCERIES,890.00,,UPI260922001
2026-09-23,UPI/SPOTIFY SUBSCRIPTION,119.00,,UPI260923001
2026-09-24,UPI/PVR CINEMAS,950.00,,UPI260924001
2026-09-25,UPI/PHONEPE WALLET TOPUP,2000.00,,UPI260925001
2026-09-26,UPI/BOOKMYSHOW EVENT,750.00,,UPI260926001
2026-09-27,UPI/OLA CABS,310.00,,UPI260927001
2026-09-28,NEFT RENT REFUND,,3000.00,NEFT260928001
2026-09-29,UPI/DECATHLON SPORTS,2800.00,,UPI260929001
2026-09-30,UPI/DMART MONTHLY SHOPPING,5600.00,,UPI260930001
